origin_city;destination_city
Vilnius,VNO;Charleroi,CRL
Warsaw,WMI;Charleroi,CRL
Wroclaw,WRO;Charleroi,CRL
Zaragoza,ZAZ;Charleroi,CRL
Bergamo,BGY;Catania,CTA
Bologna,BLQ;Catania,CTA
Cagliari,CAG;Catania,CTA
Eindhoven,EIN;Catania,CTA
Rome,FCO;Catania,CTA
Frankfurt,FRA;Catania,CTA
Madrid,MAD;Catania,CTA
Malta,MLA;Catania,CTA
Milano,MXP;Catania,CTA
Perugia,PEG;Catania,CTA
Pisa,PSA;Catania,CTA
Berlin,SXF;Catania,CTA
Torino,TRN;Catania,CTA
Ronchi De Legionari,TRS;Catania,CTA
Treviso,TSF;Catania,CTA
Cagliari,CAG;Cuneo,CUF
Tenerife,TFS;Cardiff,CWL
Fes,FEZ;Dole,DLE
Porto,OPO;Dole,DLE
Marrakech,RAK;Dole,DLE
London,STN;Dinard,DNR
Malaga,AGP;Dortmund,DTM
Krakow,KRK;Dortmund,DTM
Porto,OPO;Dortmund,DTM
Palma de Mallorca,PMI;Dortmund,DTM
Thessaloniki,SKG;Dortmund,DTM
London,STN;Dortmund,DTM
Arrecife,ACE;Dublin,DUB
Malaga,AGP;Dublin,DUB
Alicante,ALC;Dublin,DUB
Amsterdam,AMS;Dublin,DUB
Barcelona,BCN;Dublin,DUB
Bergamo,BGY;Dublin,DUB
Birmingham,BHX;Dublin,DUB
Bologna,BLQ;Dublin,DUB
Bristol,BRS;Dublin,DUB
Brussels,BRU;Dublin,DUB
Mulhouse,BSL;Dublin,DUB
Bratislava,BTS;Dublin,DUB
